Week,Term 1,Term 2,Term 3
12/30/07,16,16,47
1/6/08,24,17,64
1/13/08,22,34,64
1/20/08,30,23,63
1/27/08,22,15,63
2/3/08,31,26,67
2/10/08,24,26,61
2/17/08,23,37,64
2/24/08,29,25,66
3/2/08,24,37,67
3/9/08,29,32,69
3/16/08,21,21,59
3/23/08,28,27,63
3/30/08,26,23,63
4/6/08,26,27,67
4/13/08,28,37,67
4/20/08,29,29,68
4/27/08,28,23,58
5/4/08,26,32,59
5/11/08,29,25,57
5/18/08,23,39,63
5/25/08,24,24,58
6/1/08,23,15,55
6/8/08,24,20,53
6/15/08,20,24,49
6/22/08,23,18,46
6/29/08,23,19,46
7/6/08,26,17,45
7/13/08,26,11,46
7/20/08,25,16,50
7/27/08,24,11,46
8/3/08,30,12,47
8/10/08,31,21,54
8/17/08,33,18,67
8/24/08,32,17,58
8/31/08,27,14,58
9/7/08,30,17,65
9/14/08,34,17,63
9/21/08,35,28,77
9/28/08,30,25,69
10/5/08,40,34,65
10/12/08,35,23,74
10/19/08,35,29,83
10/26/08,37,15,73
11/2/08,34,25,69
11/9/08,32,30,75
11/16/08,34,32,73
11/23/08,26,21,58
11/30/08,35,29,67
12/7/08,42,27,67
12/14/08,33,18,56
12/21/08,22,18,33
12/28/08,28,18,37
1/4/09,30,13,59
1/11/09,33,23,60
1/18/09,33,20,61
1/25/09,33,21,64
2/1/09,36,23,61
2/8/09,34,25,64
2/15/09,39,16,61
2/22/09,39,24,62
3/1/09,39,24,61
3/8/09,40,30,65
3/15/09,40,29,63
3/22/09,34,25,63
3/29/09,39,32,61
4/5/09,34,34,58
4/12/09,37,33,58
4/19/09,37,37,65
4/26/09,41,25,64
5/3/09,43,26,61
5/10/09,34,24,58
5/17/09,39,21,73
5/24/09,31,26,56
5/31/09,31,23,56
6/7/09,33,23,53
6/14/09,33,17,52
6/21/09,31,22,49
6/28/09,28,15,45
7/5/09,32,18,47
7/12/09,31,12,49
7/19/09,31,18,48
7/26/09,30,20,49
8/2/09,38,20,45
8/9/09,32,16,46
8/16/09,35,17,49
8/23/09,38,15,51
8/30/09,39,14,52
9/6/09,34,15,57
9/13/09,41,23,64
9/20/09,49,22,65
9/27/09,38,15,66
10/4/09,41,32,68
10/11/09,43,20,64
10/18/09,40,25,65
10/25/09,43,18,62
11/1/09,38,23,68
11/8/09,41,27,68
11/15/09,38,33,64
11/22/09,29,29,59
11/29/09,41,30,62
12/6/09,54,25,62
12/13/09,49,20,54
12/20/09,29,16,38
12/27/09,29,16,44
1/3/10,38,25,54
1/10/10,42,29,57
1/17/10,36,21,60
1/24/10,40,30,62
1/31/10,37,23,63
2/7/10,37,36,60
2/14/10,41,22,62
2/21/10,40,29,64
2/28/10,43,30,66
3/7/10,44,33,70
3/14/10,41,27,68
3/21/10,48,37,71
3/28/10,44,21,63
4/4/10,51,28,70
4/11/10,42,40,67
4/18/10,45,33,71
4/25/10,51,40,73
5/2/10,51,29,67
5/9/10,45,27,65
5/16/10,43,30,74
5/23/10,36,21,61
5/30/10,37,21,57
6/6/10,38,17,53
6/13/10,36,19,52
6/20/10,35,19,49
6/27/10,37,16,48
7/4/10,39,13,49
7/11/10,43,16,49
7/18/10,40,23,53
7/25/10,41,15,50
8/1/10,42,25,52
8/8/10,47,17,54
8/15/10,48,17,55
8/22/10,46,20,53
8/29/10,53,17,54
9/5/10,48,18,55
9/12/10,53,18,70
9/19/10,57,22,67
9/26/10,54,25,78
10/3/10,63,23,73
