Date,Month,Channel 1 Views,Channel 1 Interactions,Channel 2 Views,Channel 2 Interactions,Site Visitors,,,,,,
1/1/14,2014-1,"8,000",300,"7,500,000","36,000","29,200",,,,,,
1/2/14,2014-1,"13,000",700,"7,600,000","41,000","28,500",,,,,,
1/3/14,2014-1,"47,000","2,000","7,800,000","39,000","27,000",,,,,,
1/4/14,2014-1,"52,000","1,000","7,600,000","35,000","22,100",,,,,,
1/5/14,2014-1,"60,000","2,000","7,400,000","41,000","22,400",,,,,,
1/6/14,2014-1,"96,000","3,000","8,600,000","39,000","26,600",,,,,,
1/7/14,2014-1,"140,000","3,000","17,100,000","38,000","26,000",,,,,,
1/8/14,2014-1,"170,000","4,000","13,200,000","38,000","28,800",,,,,,
1/9/14,2014-1,"170,000","4,000","9,100,000","29,000","25,400",,,,,,
1/10/14,2014-1,"170,000","4,000","9,000,000","34,000","26,700",,,,,,
1/11/14,2014-1,"110,000","2,000","7,000,000","37,000","23,100",,,,,,
1/12/14,2014-1,"130,000","3,000","7,500,000","44,000","25,700",,,,,,
1/13/14,2014-1,"160,000","4,000","12,100,000","56,000","33,500",,,,,,
1/14/14,2014-1,"170,000","4,000","5,800,000","31,000","25,400",,,,,,
1/15/14,2014-1,"180,000","5,000","14,900,000","63,000","34,500",,,,,,
1/16/14,2014-1,"190,000","5,000","14,800,000","53,000","33,500",,,,,,
1/17/14,2014-1,"170,000","4,000","14,000,000","67,000","33,600",,,,,,
1/18/14,2014-1,"130,000","3,000","18,500,000","90,000","40,200",,,,,,
1/19/14,2014-1,"120,000","3,000","7,100,000","32,000","17,500",,,,,,
1/20/14,2014-1,"150,000","4,000","7,700,000","48,000","27,700",,,,,,
1/21/14,2014-1,"190,000","5,000","7,500,000","42,000","24,700",,,,,,
1/22/14,2014-1,"210,000","5,000","8,600,000","37,000","25,600",,,,,,
1/23/14,2014-1,"180,000","5,000","7,800,000","43,000","27,500",,,,,,
1/24/14,2014-1,"160,000","4,000","9,600,000","38,000","25,500",,,,,,
1/25/14,2014-1,"120,000","3,000","11,300,000","40,000","21,900",,,,,,
1/26/14,2014-1,"130,000","3,000","12,600,000","43,000","23,400",,,,,,
1/27/14,2014-1,"250,000","5,000","19,700,000","68,000","39,700",,,,,,
1/28/14,2014-1,"290,000","5,000","27,300,000","110,000","55,300",,,,,,
1/29/14,2014-1,"300,000","4,000","28,100,000","110,000","57,000",,,,,,
1/30/14,2014-1,"250,000","5,000","27,000,000","110,000","56,900",,,,,,
1/31/14,2014-1,"200,000","4,000","23,800,000","100,000","54,200",,,,,,
2/1/14,2014-2,"170,000","3,000","6,500,000","34,000","30,100",,,,,,
2/2/14,2014-2,"170,000","3,000","6,300,000","28,000","25,600",,,,,,
2/3/14,2014-2,"210,000","5,000","10,900,000","46,000","37,800",,,,,,
